cod_areacarga;dat_referencia;din_referenciautc;val_cargaglobalcons;val_cargaglobal;val_consistencia
RR;2020-11-29;2020-11-30T02:00:00Z;148,7279;148,7279;0
RR;2020-11-29;2020-11-30T02:30:00Z;152,3045;152,3045;0
RR;2020-11-29;2020-11-30T03:00:00Z;153,6943;153,6943;0
RR;2020-11-30;2020-11-30T03:30:00Z;153,9693;153,9693;0
RR;2020-11-30;2020-11-30T04:00:00Z;153,288;153,288;0
RR;2020-11-30;2020-11-30T04:30:00Z;151,1855;151,1855;0
RR;2020-11-30;2020-11-30T05:00:00Z;149,29;149,29;0
RR;2020-11-30;2020-11-30T05:30:00Z;146,3776;146,3776;0
RR;2020-11-30;2020-11-30T06:00:00Z;143,5897;143,5897;0
RR;2020-11-30;2020-11-30T06:30:00Z;140,5153;140,5153;0
RR;2020-11-30;2020-11-30T07:00:00Z;137,774;137,774;0
RR;2020-11-30;2020-11-30T07:30:00Z;135,0194;135,0194;0
RR;2020-11-30;2020-11-30T08:00:00Z;132,0587;132,0587;0
RR;2020-11-30;2020-11-30T08:30:00Z;130,3463;130,3463;0
RR;2020-11-30;2020-11-30T09:00:00Z;128,377;128,377;0
RR;2020-11-30;2020-11-30T09:30:00Z;127,3388;127,3388;0
RR;2020-11-30;2020-11-30T10:00:00Z;119,2428;119,2428;0
RR;2020-11-30;2020-11-30T10:30:00Z;107,0635;107,0635;0
RR;2020-11-30;2020-11-30T11:00:00Z;102,9729;102,9729;0
RR;2020-11-30;2020-11-30T11:30:00Z;102,9036;102,9036;0
RR;2020-11-30;2020-11-30T12:00:00Z;107,5577;107,5577;0
RR;2020-11-30;2020-11-30T12:30:00Z;118,0804;118,0804;0
RR;2020-11-30;2020-11-30T13:00:00Z;121,3754;121,3754;0
RR;2020-11-30;2020-11-30T13:30:00Z;123,7819;123,7819;0
RR;2020-11-30;2020-11-30T14:00:00Z;125,0271;125,0271;0
RR;2020-11-30;2020-11-30T14:30:00Z;126,5891;126,5891;0
RR;2020-11-30;2020-11-30T15:00:00Z;128,4307;128,4307;0
RR;2020-11-30;2020-11-30T15:30:00Z;130,5983;130,5983;0
RR;2020-11-30;2020-11-30T16:00:00Z;133,3947;133,3947;0
RR;2020-11-30;2020-11-30T16:30:00Z;133,1478;133,1478;0
RR;2020-11-30;2020-11-30T17:00:00Z;137,5589;137,5589;0
RR;2020-11-30;2020-11-30T17:30:00Z;146,1629;146,1629;0
RR;2020-11-30;2020-11-30T18:00:00Z;153,9314;153,9314;0
RR;2020-11-30;2020-11-30T18:30:00Z;161,6465;161,6465;0
RR;2020-11-30;2020-11-30T19:00:00Z;162,947;162,947;0
RR;2020-11-30;2020-11-30T19:30:00Z;161,7293;161,7293;0
RR;2020-11-30;2020-11-30T20:00:00Z;158,9099;158,9099;0
RR;2020-11-30;2020-11-30T20:30:00Z;153,7671;153,7671;0
RR;2020-11-30;2020-11-30T21:00:00Z;148,4827;148,4827;0
RR;2020-11-30;2020-11-30T21:30:00Z;141,0234;141,0234;0
RR;2020-11-30;2020-11-30T22:00:00Z;136,1908;136,1908;0
RR;2020-11-30;2020-11-30T22:30:00Z;143,0742;143,0742;0
RR;2020-11-30;2020-11-30T23:00:00Z;147,6655;147,6655;0
RR;2020-11-30;2020-11-30T23:30:00Z;149,8634;149,8634;0
RR;2020-11-30;2020-12-01T00:00:00Z;151,9713;151,9713;0
RR;2020-11-30;2020-12-01T00:30:00Z;152,2716;152,2716;0
RR;2020-11-30;2020-12-01T01:00:00Z;156,8337;156,8337;0
RR;2020-11-30;2020-12-01T01:30:00Z;160,6014;160,6014;0
RR;2020-11-30;2020-12-01T02:00:00Z;164,963;164,963;0
RR;2020-11-30;2020-12-01T02:30:00Z;168,3163;168,3163;0
RR;2020-11-30;2020-12-01T03:00:00Z;172,736;172,736;0
RR;2020-12-01;2020-12-01T03:30:00Z;174,0309;174,0309;0
RR;2020-12-01;2020-12-01T04:00:00Z;173,2808;173,2808;0
RR;2020-12-01;2020-12-01T04:30:00Z;169,5883;169,5883;0
RR;2020-12-01;2020-12-01T05:00:00Z;165,84;165,84;0
RR;2020-12-01;2020-12-01T05:30:00Z;161,0656;161,0656;0
RR;2020-12-01;2020-12-01T06:00:00Z;156,8365;156,8365;0
RR;2020-12-01;2020-12-01T06:30:00Z;152,4302;152,4302;0
RR;2020-12-01;2020-12-01T07:00:00Z;148,6645;148,6645;0
RR;2020-12-01;2020-12-01T07:30:00Z;145,2165;145,2165;0
RR;2020-12-01;2020-12-01T08:00:00Z;141,9181;141,9181;0
RR;2020-12-01;2020-12-01T08:30:00Z;139,0972;139,0972;0
RR;2020-12-01;2020-12-01T09:00:00Z;136,3053;136,3053;0
RR;2020-12-01;2020-12-01T09:30:00Z;133,385;133,385;0
RR;2020-12-01;2020-12-01T10:00:00Z;124,3272;124,3272;0
RR;2020-12-01;2020-12-01T10:30:00Z;113,4691;113,4691;0
RR;2020-12-01;2020-12-01T11:00:00Z;108,6952;108,6952;0
RR;2020-12-01;2020-12-01T11:30:00Z;108,3059;108,3059;0
RR;2020-12-01;2020-12-01T12:00:00Z;111,8288;111,8288;0
RR;2020-12-01;2020-12-01T12:30:00Z;121,954;121,954;0
RR;2020-12-01;2020-12-01T13:00:00Z;123,2378;123,2378;0
RR;2020-12-01;2020-12-01T13:30:00Z;125,212;125,212;0
RR;2020-12-01;2020-12-01T14:00:00Z;123,1836;123,1836;0
RR;2020-12-01;2020-12-01T14:30:00Z;125,07;125,07;0
RR;2020-12-01;2020-12-01T15:00:00Z;127,5294;127,5294;0
RR;2020-12-01;2020-12-01T15:30:00Z;134,7571;134,7571;0
RR;2020-12-01;2020-12-01T16:00:00Z;134,1419;134,1419;0
RR;2020-12-01;2020-12-01T16:30:00Z;135,8246;135,8246;0
RR;2020-12-01;2020-12-01T17:00:00Z;140,3007;140,3007;0
RR;2020-12-01;2020-12-01T17:30:00Z;145,0708;145,0708;0
RR;2020-12-01;2020-12-01T18:00:00Z;151,481;151,481;0
RR;2020-12-01;2020-12-01T18:30:00Z;156,5929;156,5929;0
RR;2020-12-01;2020-12-01T19:00:00Z;157,4316;157,4316;0
RR;2020-12-01;2020-12-01T19:30:00Z;160,3502;160,3502;0
RR;2020-12-01;2020-12-01T20:00:00Z;159,0163;159,0163;0
RR;2020-12-01;2020-12-01T20:30:00Z;150,2551;150,2551;0
RR;2020-12-01;2020-12-01T21:00:00Z;141,5345;141,5345;0
RR;2020-12-01;2020-12-01T21:30:00Z;135,0378;135,0378;0
RR;2020-12-01;2020-12-01T22:00:00Z;133,2402;133,2402;0
RR;2020-12-01;2020-12-01T22:30:00Z;141,7317;141,7317;0
RR;2020-12-01;2020-12-01T23:00:00Z;146,5029;146,5029;0
RR;2020-12-01;2020-12-01T23:30:00Z;149,3852;149,3852;0
RR;2020-12-01;2020-12-02T00:00:00Z;150,9237;150,9237;0
RR;2020-12-01;2020-12-02T00:30:00Z;153,3147;153,3147;0
RR;2020-12-01;2020-12-02T01:00:00Z;156,5062;156,5062;0
RR;2020-12-01;2020-12-02T01:30:00Z;159,4707;159,4707;0
RR;2020-12-01;2020-12-02T02:00:00Z;163,4003;163,4003;0
RR;2020-12-01;2020-12-02T02:30:00Z;166,2235;166,2235;0
RR;2020-12-01;2020-12-02T03:00:00Z;169,5153;169,5153;0
RR;2020-12-02;2020-12-02T03:30:00Z;172,1392;172,1392;0
RR;2020-12-02;2020-12-02T04:00:00Z;172,1884;172,1884;0
RR;2020-12-02;2020-12-02T04:30:00Z;170,0237;170,0237;0
RR;2020-12-02;2020-12-02T05:00:00Z;166,8395;166,8395;0
RR;2020-12-02;2020-12-02T05:30:00Z;162,8393;162,8393;0
RR;2020-12-02;2020-12-02T06:00:00Z;158,9216;158,9216;0
RR;2020-12-02;2020-12-02T06:30:00Z;155,6897;155,6897;0
RR;2020-12-02;2020-12-02T07:00:00Z;152,4067;152,4067;0
RR;2020-12-02;2020-12-02T07:30:00Z;148,7847;148,7847;0
RR;2020-12-02;2020-12-02T08:00:00Z;144,9996;144,9996;0
RR;2020-12-02;2020-12-02T08:30:00Z;142,1786;142,1786;0
RR;2020-12-02;2020-12-02T09:00:00Z;140,0401;140,0401;0
RR;2020-12-02;2020-12-02T09:30:00Z;137,0875;137,0875;0
RR;2020-12-02;2020-12-02T10:00:00Z;125,3452;125,3452;0
RR;2020-12-02;2020-12-02T10:30:00Z;114,2302;114,2302;0
RR;2020-12-02;2020-12-02T11:00:00Z;110,3009;110,3009;0
RR;2020-12-02;2020-12-02T11:30:00Z;110,8025;110,8025;0
RR;2020-12-02;2020-12-02T12:00:00Z;116,8942;116,8942;0
RR;2020-12-02;2020-12-02T12:30:00Z;128,3216;128,3216;0
RR;2020-12-02;2020-12-02T13:00:00Z;134,09;134,09;0
RR;2020-12-02;2020-12-02T13:30:00Z;137,3801;137,3801;0
RR;2020-12-02;2020-12-02T14:00:00Z;139,0891;139,0891;0
RR;2020-12-02;2020-12-02T14:30:00Z;141,1564;141,1564;0
RR;2020-12-02;2020-12-02T15:00:00Z;143,2255;143,2255;0
RR;2020-12-02;2020-12-02T15:30:00Z;144,4741;144,4741;0
RR;2020-12-02;2020-12-02T16:00:00Z;145,5295;145,5295;0
RR;2020-12-02;2020-12-02T16:30:00Z;145,0231;145,0231;0
RR;2020-12-02;2020-12-02T17:00:00Z;148,9418;148,9418;0
RR;2020-12-02;2020-12-02T17:30:00Z;158,6201;158,6201;0
RR;2020-12-02;2020-12-02T18:00:00Z;169,3337;169,3337;0
RR;2020-12-02;2020-12-02T18:30:00Z;177,1735;177,1735;0
RR;2020-12-02;2020-12-02T19:00:00Z;177,7176;177,7176;0
RR;2020-12-02;2020-12-02T19:30:00Z;176,1143;176,1143;0
RR;2020-12-02;2020-12-02T20:00:00Z;171,8893;171,8893;0
RR;2020-12-02;2020-12-02T20:30:00Z;165,8565;165,8565;0
RR;2020-12-02;2020-12-02T21:00:00Z;157,9281;157,9281;0
RR;2020-12-02;2020-12-02T21:30:00Z;149,2602;149,2602;0
RR;2020-12-02;2020-12-02T22:00:00Z;145,1389;145,1389;0
RR;2020-12-02;2020-12-02T22:30:00Z;153,4652;153,4652;0
